User,UserID,Query,ResultID,ResultCreated_At,RTUser,RTID,RT_created_at,RT_text
romancota13,614112323,Dodgers,1056294639748079616,2018-10-27 21:20:41,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
Cecilia89153361,878761728351375360,Dodgers,1056294635197337600,2018-10-27 21:20:40,Armyunnies,1056288059313086466,2018-10-27 20:54:32,Ahhh pusieron Idol en el estadio se los Dodgers vfkdhdjdh amo el beisbol y mi equipo fav son los #dodgers STOP!!!!  #bts @BTS_twt https://t.co/Y0sQCPNwol
michaelsnarky,703335335237816320,Dodgers,1056294634102517765,2018-10-27 21:20:40,DodgerInsider,1056106776418955264,2018-10-27 08:54:11,He lives for moments like this. Walker Buehler turns in one of the greatest starts ever by a Dodger in a #WorldSeries game.https://t.co/YWgEe7xJA0
b27moore,1376065056,Dodgers,1056294629832683521,2018-10-27 21:20:39,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
mmoz40,2821659369,Dodgers,1056294625806352384,2018-10-27 21:20:38,VinceSamperio,1056285601161338880,2018-10-27 20:44:46,The Dodgers are undefeated in the World Series when a Samperio attends a game started by Rich Hill. My parents will be in attendance tonight. Lets get it. https://t.co/5wksmSEkOp
Amy95474055,848329840864276480,Dodgers,1056294625760096256,2018-10-27 21:20:38,_paul_briggs_,1056243831593562112,2018-10-27 17:58:48,Still cant believe I was there -#worldseries#Dodgers @maxmuncy9 @Dodgers https://t.co/MTWejElqGs
wrikent3500,15827727,Dodgers,1056294622564179968,2018-10-27 21:20:37,RealRonHoward,1056092810305138688,2018-10-27 07:58:41,Clint &amp; had to quickly run for the car to beat the crowd so no time to tweet but Wow. what a game. historic. #Dodgers #RedSox. Both Brilliant Epic. and...once again ...please all #VOTE
avrilvk12,1342403124,Dodgers,1056294618055278593,2018-10-27 21:20:36,Jared_Carrabis,1056234212804546560,2018-10-27 17:20:34,It took 18 innings and an 0-for-18 from Mookie Betts Xander Bogaerts and JD Martinez for the Dodgers to beat the Red Sox one time.
EIcP7JE4rS6Su53,1050855360364519424,Dodgers,1056294612984360965,2018-10-27 21:20:35,TheAaronWolf,1056044871755026432,2018-10-27 04:48:12,Dodgers intense passion nerves. #worldseries #MLBPlayoffs #dodgersvsredsox #DodgersSocial https://t.co/EHOcGIQVs3
jennifer_gei,3010771601,Dodgers,1056294603895246848,2018-10-27 21:20:33,23KGibby,1056235279248384000,2018-10-27 17:24:49,Watching the next generation make new history..... #Muncy   @Eck43 @Dodgers https://t.co/JCKSkuiAO8
Boneffm,140366375,Dodgers,1056294603673006085,2018-10-27 21:20:33,RNBWCV,1056293688584953856,2018-10-27 21:16:55,Morgen ist sportlich nix los in LA 12:30h NY Rangers at LA Kings13:25h Green Bay Packers at LA Rams 13:30h Houston Dynamo at LA Galaxy17:15h Boston Red Sox at LA Dodgers18:30h Washington Wizards at LA Lakers5 Spiele von 5 Ligen in der gleichen Stadt.Noch NIE passiert! https://t.co/yLHjPPj18G
BaileyLAKings,205938397,Dodgers,1056294598085996544,2018-10-27 21:20:31,23KGibby,1056235279248384000,2018-10-27 17:24:49,Watching the next generation make new history..... #Muncy   @Eck43 @Dodgers https://t.co/JCKSkuiAO8
ShellyS63206798,903892641766617088,Dodgers,1056294595951321088,2018-10-27 21:20:31,28inOnehome,1056068824984743936,2018-10-27 06:23:23,Harry EXTRA Styles is replicating Elton Johns dodgers sparkling uniform for Halloween . THIS WILL GO DOWN IN THE HISTORY ILL NEVER LET THIS DOWN SO FCKING ICONIC https://t.co/pKEsgLW9kd
iiSpaceDuck,3231951218,Dodgers,1056294594965454849,2018-10-27 21:20:31,cRUMSS,1056092627689324545,2018-10-27 07:57:58,1st inning / 18th inning #Dodgers https://t.co/MrgaL8qsGG
MeraMartinez4,2328167887,Dodgers,1056294594483081217,2018-10-27 21:20:30,Dodgers,1056247564985688064,2018-10-27 18:13:38,Max Muncy delivers in the 18th! #TipoftheCap https://t.co/5By12Jc9ZB
deepwapiti,32633926,Dodgers,1056294592725712897,2018-10-27 21:20:30,ericstephen,1056189887915876352,2018-10-27 14:24:26,The recap of all of the Game 3 chaos from @GrantBrisbee is great for many reasons including describing Eduardo Nunez as made out of graham crackers and expired coupons. Also there is advice for Wednesday.https://t.co/ai32GRU8BC https://t.co/sjFPCK9YCY
Cecilia89153361,878761728351375360,Dodgers,1056294590800650242,2018-10-27 21:20:30,BTS_Spain,1056234153480466432,2018-10-27 17:20:20,[VIDEO] Suena #IDOL de #BTS en un partido de baseball en el estadio de los #Dodgers (Los Angeles) chelsluvbts | @BTS_twthttps://t.co/lpqDTOnO04
Dflare25,515940853,Dodgers,1056294590616125440,2018-10-27 21:20:30,Starting9,1055983829608026117,2018-10-27 00:45:38,Yep thats definitely Bill Nye not a legendary Dodgers pitcher at a Dodgers World Series game nope its the science guy https://t.co/BzJBoB2LHR
Josh_Waters97,4673966929,Dodgers,1056294586073604096,2018-10-27 21:20:28,YahooSports,1056294024460541957,2018-10-27 21:18:15,The @Dodgers go with Rich Hill on the mound tonight after seeing @ClaytonKersh22 do pre-game pushups (via @Steve_Perrault) https://t.co/XWzNiX8Z51
charroiverson,1597459843,Dodgers,1056294585662562305,2018-10-27 21:20:28,DOPEITSDOM,1056254149841477633,2018-10-27 18:39:48,Lets go Dodgers!!!!!
TheSuperSavage,1025082764041891842,Dodgers,1056294584572149760,2018-10-27 21:20:28,MLBNetwork,1056260226222055425,2018-10-27 19:03:56,How about @Cody_Bellingers throw to save the @Dodgers last night? #BallparkCamOur Game Four coverage starts right now! #WorldSeries https://t.co/4dQRtBH9kl
joannafredjones,304027284,Dodgers,1056294583800279040,2018-10-27 21:20:28,R3Thorns,1056292807831281664,2018-10-27 21:13:25,#Game4#WorldSeries #dodgers #CaliforniaDodgers Fans support #JohnCox 4 Governor! #NoSocialistNewsom#SaveCalifornia https://t.co/GaMY25wfgj
SoCalSunDevil,223635370,Dodgers,1056294582248341504,2018-10-27 21:20:28,ESPNMcGee,1056025557647925248,2018-10-27 03:31:27,Find someone in your life who loves you as much as Mary Hart loves the Dodgers. #WorldSeries https://t.co/soxnTBcppd
kellyinvegas,51851514,Dodgers,1056294579614375936,2018-10-27 21:20:27,Chris_Broussard,1056294111232180224,2018-10-27 21:18:35,Does Kobe really want LeBron to succeed in LA? analytics force the Dodgers hand in Game 3 - in a good way bigger AFC threat: Texans or Jags? the NFL Pigskin Pickoff &amp; more! Guests: @CedEntertainer @BenjaminSWatson @kellyinvegas Listen &amp; subscribe https://t.co/ldo8FwBsgz
ty_lam97,762907978982825984,Dodgers,1056294578225991680,2018-10-27 21:20:27,Tuff_Overlord,1056238319246295040,2018-10-27 17:36:53,My Friend: Are you ready for the #Dodgers game tonight!?Me: https://t.co/PL21GbZBO4
kingofspades33,309347740,Dodgers,1056294574640033793,2018-10-27 21:20:26,YahooSports,1056294024460541957,2018-10-27 21:18:15,The @Dodgers go with Rich Hill on the mound tonight after seeing @ClaytonKersh22 do pre-game pushups (via @Steve_Perrault) https://t.co/XWzNiX8Z51
Up_the_Empire,864406994635116544,Dodgers,1056294572475760644,2018-10-27 21:20:25,rosie_8,1056281968000679936,2018-10-27 20:30:20,Last night was SO MUCH FUN!!! Im glad I was able to be at the game and experience #HISTORY!!! Buehler was DEALING!!!! 7 hours and 20 min of ONE #WorldSeries game but worth EVERY penny I spent!!! Lets go #Dodgers!!
gotsavethequeen,1427433943,Dodgers,1056294570798051329,2018-10-27 21:20:25,Dodgers,1056087603991142405,2018-10-27 07:38:00,Guess there is a Max for how many innings will be played tonight. https://t.co/prBS1luHfK
matt_lamanna,938757980476137473,Dodgers,1056294565882273793,2018-10-27 21:20:24,BortlesFacts,1056083659248275457,2018-10-27 07:22:20,Blake Bortles only needs 60 minutes to win a game. @RedSox @Dodgers https://t.co/IKW2vTZFU8
cchloetrann,1054184105280241665,Dodgers,1056294557577605120,2018-10-27 21:20:22,ArashMarkazi,1056087425947029504,2018-10-27 07:37:18,The #Dodgers beat the #RedSox on a walk-off home run by Max Muncy to win the longest #WorldSeries game ever played. https://t.co/5NCAlpmVys
